intrinsic_dim,observed_dim,model,n,test_mean,test_std,train_mean,train_std,gap_mean,gap_std,snr_mean,snr_std,contrast_mean,contrast_std,test_se,train_se,gap_se,test_ci_low,test_ci_high,train_ci_low,train_ci_high,gap_ci_low,gap_ci_high,snr_se,contrast_se,snr_ci_low,snr_ci_high,contrast_ci_low,contrast_ci_high
256,16,logreg,20,0.6784166666666667,0.01729918194327214,0.6940208333333333,0.01827006377282676,0.015604166666666638,0.019876940028159245,0.14508965029140222,0.0030281609694241232,1.5815172365596293,0.01870970147806351,0.0038682146780293415,0.004085310454929691,0.004444618908765065,0.6708349658977292,0.6859983674356042,0.6860136248416712,0.7020280418249955,0.00689271360548711,0.024315619727846165,0.0006771173774444001,0.00418361643436783,0.1437625002316112,0.14641680035119325,1.5733173483482683,1.5897171247709903
256,32,logreg,20,0.6961666666666667,0.019134030184754878,0.7190416666666667,0.016998935725199796,0.022874999999999972,0.018959068329689195,0.3111405829979862,0.0069208201744225106,0.9217218495441288,0.016512252505870323,0.0042784992176644766,0.0038010775826696425,0.0042393765575248436,0.6877808082000444,0.704552525133289,0.7115915546046342,0.7264917787286992,0.014565821947251279,0.031184178052748666,0.0015475424370060683,0.0036922519064767284,0.3081073998214543,0.3141737661745181,0.9144850358074345,0.9289586632808232
256,64,logreg,20,0.7215833333333334,0.018380919104726567,0.7583958333333334,0.01529215664399764,0.03681249999999993,0.0201126555798503,0.7467804915607577,0.018359405393830474,0.57493568265313,0.010110651883837373,0.0041100984607093174,0.0034194301778553773,0.0044973265084585715,0.713527540350343,0.7296391263163237,0.7516937501847368,0.7650979164819299,0.027997740043421128,0.04562725995657873,0.004105287848708124,0.0022608104909096673,0.7387341273772897,0.7548268557442256,0.5705044940909471,0.5793668712153129
256,128,logreg,20,0.7471666666666666,0.014630937341311384,0.810125,0.015783682539348157,0.0629583333333333,0.016565978753058447,2.407676399317274,0.0811977853436063,0.3706858504389475,0.005481571476549983,0.0032715770469712293,0.0035293387093258974,0.0037042654605655887,0.740754375654603,0.7535789576787303,0.8032074961297212,0.8170425038702788,0.055697973030624744,0.07021869363604186,0.01815637676507398,0.0012257166445089655,2.3720899008577288,2.443262897776819,0.3682834458157099,0.37308825506218507
256,256,logreg,20,0.7868333333333333,0.023877734373897504,0.9009375000000001,0.013182310132848376,0.11410416666666665,0.019996927304168167,100.00714619242419,3.0452870487342283,0.23943256503598262,0.004371383635335877,0.005339223720871819,0.002947654155753325,0.004471448879324163,0.7763684548404245,0.797298211826242,0.8951600978547235,0.9067149021452766,0.10534012686319129,0.122868206470142,0.6809468851969449,0.0009774710964341174,98.67249029743817,101.3418020874102,0.23751672168697174,0.2413484083849935
256,512,logreg,20,0.7356666666666667,0.027585062488865598,0.9984999999999999,0.003831712090418525,0.26283333333333336,0.025464471867395574,330.6325019196439,10.051697554693465,0.15414315815318777,0.002321713889413253,0.006168207488868301,0.0008567968704383641,0.005694029010662751,0.7235769799884848,0.7477563533448486,0.9968206781339407,1.000179321866059,0.2516730364724344,0.27399363019423234,2.2476279021563,0.0005191510081033463,326.22715123141757,335.03785260787026,0.15312562217730522,0.15516069412907033
256,768,logreg,20,0.6879166666666666,0.019025029681605354,1.0,0.0,0.31208333333333327,0.019025029681605347,461656492118958.6,13866296896369.633,0.11441384146391749,0.0018464665175411607,0.004254125964202075,0.0,0.004254125964202073,0.6795785797768306,0.6962547535565027,1.0,1.0,0.3037452464434972,0.32042142022316933,3100598245647.6855,0.0004128824651399343,455579319557489.2,467733664680428.06,0.11360459183224322,0.11522309109559176
768,16,logreg,20,0.6511666666666667,0.028521562582785362,0.6546875,0.02060483242232382,0.0035208333333333146,0.024182343297107896,0.059768921403582885,0.0004311528199790269,1.5967952908554153,0.03752770145602751,0.006377615275962254,0.004607380596130771,0.005407336346756965,0.6386665407257807,0.6636667926075527,0.6456570340315837,0.6637179659684163,-0.007077545906310335,0.014119212572976965,9.640870141638337e-05,0.008391449149499535,0.059579960348806776,0.059957882458358994,1.5803480505223961,1.6132425311884344
768,32,logreg,20,0.6806666666666666,0.024734851232564067,0.6970416666666667,0.020263207735185917,0.016374999999999994,0.027122980427148117,0.12158051804504433,0.0007984500541308646,0.922615194653037,0.018843681361927257,0.0055308808769357716,0.004530990993807526,0.006064882798749947,0.6698261401478726,0.6915071931854607,0.6881609243188039,0.7059224090145294,0.0044878297144500985,0.02826217028554989,0.0001785388597675,0.004213575247161516,0.12123058187990003,0.12193045421018862,0.9143565871686005,0.9308738021374735
768,64,logreg,20,0.7005,0.024429753692926902,0.7357708333333333,0.01330951477250513,0.0352708333333333,0.028240066760084573,0.2558005951858257,0.0017001916914361475,0.5711696002042719,0.011213342691840468,0.0054626589930961075,0.002976097977885912,0.006314670896468135,0.6897931883735317,0.7112068116264684,0.7299376812966769,0.7416039853699896,0.022894078376255754,0.047647588290410846,0.00038017441968315725,0.002507379651395576,0.2550554533232467,0.2565457370484047,0.5662551360875365,0.5760840643210072
