model,intrinsic_dim,observed_dim,n,test_accuracy_mean,test_accuracy_std,generalization_gap_mean,generalization_gap_std,snr_proxy_mean,snr_proxy_std,test_accuracy_se,generalization_gap_se,snr_proxy_se,test_accuracy_ci_low,test_accuracy_ci_high,generalization_gap_ci_low,generalization_gap_ci_high,snr_proxy_ci_low,snr_proxy_ci_high
linear_svm,256,64,20,0.7222500000000001,0.01828362479577052,0.033916666666666616,0.020475166815934632,0.7467804915607577,0.018359405393830474,0.004088342791844359,0.004578386485107776,0.004105287848708124,0.7142368481279852,0.730263151872015,0.024943029155855376,0.042890304177477856,0.7387341273772897,0.7548268557442256
linear_svm,256,128,20,0.75175,0.016957764872579297,0.05756249999999996,0.018757686046490734,2.407676399317274,0.0811977853436063,0.0037918715001545368,0.0041943461100552555,0.01815637676507398,0.7443179318596972,0.7591820681403029,0.04934158162429166,0.06578341837570827,2.3720899008577288,2.443262897776819
linear_svm,256,256,20,0.8007500000000001,0.02557796817849985,0.0907083333333333,0.020235772201924677,100.00714619242419,3.0452870487342283,0.0057194075573452135,0.0045248562220704175,0.6809468851969449,0.7895399611876035,0.8119600388123966,0.08183961513807528,0.09957705152859131,98.67249029743817,101.3418020874102
linear_svm,256,512,20,0.7422500000000001,0.02081156757741329,0.23049999999999998,0.022097024885081917,330.6325019196439,10.051697554693465,0.004653607982142673,0.004941044974354765,2.2476279021563,0.7331289283550004,0.7513710716449997,0.22081555185026464,0.24018444814973533,326.22715123141757,335.03785260787026
linear_svm,256,768,20,0.68875,0.023656131828754583,0.3112499999999999,0.023656131828754586,461656492118958.6,13866296896369.633,0.005289671885379166,0.005289671885379167,3100598245647.6855,0.6783822431046568,0.6991177568953432,0.3008822431046567,0.3216177568953431,455579319557489.2,467733664680428.06
linear_svm,768,16,20,0.6500833333333333,0.027896398769867846,0.004708333333333305,0.024575749647980868,0.059768921403582885,0.0004311528199790269,0.006237824397686601,0.005495304681090174,9.640870141638337e-05,0.6378571975138676,0.6623094691527991,-0.006062463841603436,0.015479130508270045,0.059579960348806776,0.059957882458358994
linear_svm,768,32,20,0.6819166666666667,0.02517932759252509,0.013354166666666625,0.027313788409532285,0.12158051804504433,0.0007984500541308646,0.005630268812462222,0.006107548760676005,0.0001785388597675,0.6708813397942408,0.6929519935390926,0.0013833710957416555,0.025324962237591595,0.12123058187990003,0.12193045421018862
linear_svm,768,64,20,0.7011666666666667,0.022478709875364707,0.03302083333333329,0.025536593325739657,0.2558005951858257,0.0017001916914361475,0.005026392332781131,0.00571015585901213,0.00038017441968315725,0.6913149376944157,0.7110183956389178,0.021828927849669513,0.04421273881699707,0.2550554533232467,0.2565457370484047
linear_svm,768,128,20,0.7236666666666667,0.023530495331087236,0.05620833333333329,0.023987501314189544,0.5626210285059041,0.004374017584162742,0.005261578710455248,0.0053637683548893355,0.0009780600652967298,0.7133539723941744,0.7339793609391589,0.045695347357750195,0.0667213193089164,0.5607040307779225,0.5645380262338857
linear_svm,768,256,20,0.7493333333333333,0.019811981725285352,0.10237499999999997,0.01998221980129172,1.5497059266125202,0.013664699387810742,0.004430093790672161,0.004468160181703062,0.003055519672324458,0.7406503495036159,0.7580163171630507,0.09361740604386197,0.11113259395613796,1.5437171080547643,1.555694745170276
linear_svm,768,512,20,0.7411666666666668,0.023527388543905715,0.24324999999999997,0.022533519541429313,8.254693903428128,0.09528482395960623,0.005260884011722297,0.005038648146695583,0.02130633435977802,0.7308553340036911,0.7514779993296424,0.23337424963247663,0.25312575036752333,8.212933488082964,8.296454318773293
linear_svm,768,768,20,0.7281666666666666,0.01922397990814522,0.2718333333333333,0.019223979908145217,1356884938598999.5,19681778784089.57,0.004298612587270287,0.0042986125872702865,4400979527933.743,0.7197413859956169,0.7365919473377164,0.26340805266228356,0.28025861400438307,1348259018724249.2,1365510858473749.8
logreg,64,16,20,0.6814166666666667,0.02598512282416874,0.00904166666666666,0.01706545919865089,0.6003172846608384,0.023983072410539968,0.005810450103852261,0.0038159526835432472,0.005362778021926711,0.6700281844631162,0.6928051488702172,0.0015623994069218954,0.016520933926411425,0.5898062397378621,0.6108283295838148
logreg,64,32,20,0.7136666666666667,0.024125645765983774,0.017208333333333277,0.019109898769856203,1.8466153623181722,0.08100040211512703,0.00539465839338197,0.004273103269253808,0.018112240533424178,0.703093136215638,0.7242401971176954,0.008833050925595814,0.02558361574107074,1.8111153708726608,1.8821153537636837
logreg,64,64,20,0.7886666666666666,0.024623480450043703,0.023979166666666624,0.0177501312695912,17.084542671070473,0.8910970374033794,0.005505977612893483,0.003969050012835057,0.1992553550182629,0.7778749505453953,0.7994583827879379,0.016199828641509914,0.031758504691823335,16.694002175234676,17.47508316690627
logreg,64,128,20,0.7818333333333334,0.022405748009375833,0.043479166666666645,0.018271564104492023,21.016396832658764,1.0811851324732202,0.005010077563569496,0.004085645939288923,0.24176034524722356,0.7720135813087372,0.7916530853579296,0.035471300625660354,0.051487032707672936,20.542546555974205,21.490247109343322
logreg,64,256,20,0.7627499999999999,0.023385124226476088,0.09420833333333328,0.02080695698713119,32.77282051036454,1.6598589869025588,0.0052290727432677715,0.004652577022813955,0.37115575277780544,0.7525010174231951,0.7729989825768048,0.08508928236861793,0.10332738429804864,32.04535523492004,33.50028578580904
logreg,64,512,20,0.7023333333333334,0.017230803370572166,0.2619583333333333,0.02605770558717393,105.84469602299575,5.236737259982265,0.003852924764353186,0.005826680103059698,1.1709700493626332,0.6947816007952011,0.7098850658714656,0.2505380403313363,0.2733786263353303,103.54959472624499,108.1397973197465
