seed,intrinsic_dim,delta,ambient_dim,noise_sigma,observed_dim,model,train_accuracy,test_accuracy,generalization_gap,pca_explained_var,pca_total_var,pca_remaining_var,snr_proxy,nn_mean,far_mean,distance_contrast,best_val_accuracy,best_epoch
0,64,2.0,768,0.1,256,knn_k11,0.62875,0.4583333333333333,0.17041666666666672,118.55515454014906,122.22940692993696,3.6742523897878954,32.26647000888062,20.223619514741323,25.068839788936245,0.23958225038120218,,
0,64,2.0,768,0.1,256,mlp_base,1.0,0.7616666666666667,0.23833333333333329,118.55515454014906,122.22940692993696,3.6742523897878954,32.26647000888062,20.223619514741323,25.068839788936245,0.23958225038120218,0.76875,20.0
0,64,2.0,768,0.1,256,mlp_reg,1.0,0.77,0.22999999999999998,118.55515454014906,122.22940692993696,3.6742523897878954,32.26647000888062,20.223619514741323,25.068839788936245,0.23958225038120218,0.75,7.0
0,64,2.0,768,0.1,256,mlp_wide,1.0,0.7883333333333333,0.21166666666666667,118.55515454014906,122.22940692993696,3.6742523897878954,32.26647000888062,20.223619514741323,25.068839788936245,0.23958225038120218,0.7583333333333333,26.0
0,64,2.0,768,0.1,512,logreg,0.9945833333333334,0.7466666666666667,0.24791666666666667,121.06692822548341,122.22940692993696,1.162478704453548,104.14550198783549,29.670643605743408,34.32763747756414,0.15695628088496427,,
0,64,2.0,768,0.1,512,linear_svm,0.9425,0.7416666666666667,0.2008333333333333,121.06692822548341,122.22940692993696,1.162478704453548,104.14550198783549,29.670643605743408,34.32763747756414,0.15695628088496427,,
0,64,2.0,768,0.1,512,knn_k11,0.58375,0.4216666666666667,0.1620833333333333,121.06692822548341,122.22940692993696,1.162478704453548,104.14550198783549,29.670643605743408,34.32763747756414,0.15695628088496427,,
0,64,2.0,768,0.1,512,mlp_base,1.0,0.7266666666666667,0.2733333333333333,121.06692822548341,122.22940692993696,1.162478704453548,104.14550198783549,29.670643605743408,34.32763747756414,0.15695628088496427,0.65625,37.0
0,64,2.0,768,0.1,512,mlp_reg,1.0,0.7333333333333333,0.2666666666666667,121.06692822548341,122.22940692993696,1.162478704453548,104.14550198783549,29.670643605743408,34.32763747756414,0.15695628088496427,0.6583333333333333,23.0
0,64,2.0,768,0.1,512,mlp_wide,1.0,0.7033333333333334,0.29666666666666663,121.06692822548341,122.22940692993696,1.162478704453548,104.14550198783549,29.670643605743408,34.32763747756414,0.15695628088496427,0.6166666666666667,18.0
0,64,2.0,768,0.1,768,logreg,1.0,0.6883333333333334,0.31166666666666665,122.22940692993693,122.22940692993696,1e-12,122229406929936.94,36.99867205904817,41.20545111191691,0.11370081191440912,,
0,64,2.0,768,0.1,768,linear_svm,1.0,0.6716666666666666,0.32833333333333337,122.22940692993693,122.22940692993696,1e-12,122229406929936.94,36.99867205904817,41.20545111191691,0.11370081191440912,,
0,64,2.0,768,0.1,768,knn_k11,0.5683333333333334,0.4,0.16833333333333333,122.22940692993693,122.22940692993696,1e-12,122229406929936.94,36.99867205904817,41.20545111191691,0.11370081191440912,,
0,64,2.0,768,0.1,768,mlp_base,1.0,0.5716666666666667,0.42833333333333334,122.22940692993693,122.22940692993696,1e-12,122229406929936.94,36.99867205904817,41.20545111191691,0.11370081191440912,0.5458333333333333,25.0
0,64,2.0,768,0.1,768,mlp_reg,1.0,0.605,0.395,122.22940692993693,122.22940692993696,1e-12,122229406929936.94,36.99867205904817,41.20545111191691,0.11370081191440912,0.6229166666666667,20.0
0,64,2.0,768,0.1,768,mlp_wide,1.0,0.5866666666666667,0.41333333333333333,122.22940692993693,122.22940692993696,1e-12,122229406929936.94,36.99867205904817,41.20545111191691,0.11370081191440912,0.5145833333333333,30.0
0,256,2.25,768,0.1,16,logreg,0.65375,0.6833333333333333,-0.029583333333333295,60.12729591277011,482.2774655550379,422.15016964226777,0.14243105945858625,3.1912302578105334,8.16957082940502,1.5600066962921282,,
0,256,2.25,768,0.1,16,linear_svm,0.655,0.6766666666666666,-0.021666666666666612,60.12729591277011,482.2774655550379,422.15016964226777,0.14243105945858625,3.1912302578105334,8.16957082940502,1.5600066962921282,,
0,256,2.25,768,0.1,16,knn_k11,0.6520833333333333,0.52,0.13208333333333333,60.12729591277011,482.2774655550379,422.15016964226777,0.14243105945858625,3.1912302578105334,8.16957082940502,1.5600066962921282,,
0,256,2.25,768,0.1,16,mlp_base,0.6609375,0.6666666666666666,-0.005729166666666674,60.12729591277011,482.2774655550379,422.15016964226777,0.14243105945858625,3.1912302578105334,8.16957082940502,1.5600066962921282,0.6395833333333333,7.0
0,256,2.25,768,0.1,16,mlp_reg,0.6682291666666667,0.6833333333333333,-0.015104166666666696,60.12729591277011,482.2774655550379,422.15016964226777,0.14243105945858625,3.1912302578105334,8.16957082940502,1.5600066962921282,0.66875,3.0
0,256,2.25,768,0.1,16,mlp_wide,0.6526041666666667,0.6816666666666666,-0.02906249999999999,60.12729591277011,482.2774655550379,422.15016964226777,0.14243105945858625,3.1912302578105334,8.16957082940502,1.5600066962921282,0.64375,2.0
0,256,2.25,768,0.1,32,logreg,0.69375,0.705,-0.011249999999999982,112.90061255139801,482.2774655550379,369.3768530036399,0.305651563256687,5.47624168897757,10.442342324331326,0.9068446787784017,,
0,256,2.25,768,0.1,32,linear_svm,0.69125,0.7066666666666667,-0.015416666666666634,112.90061255139801,482.2774655550379,369.3768530036399,0.305651563256687,5.47624168897757,10.442342324331326,0.9068446787784017,,
0,256,2.25,768,0.1,32,knn_k11,0.6654166666666667,0.5633333333333334,0.1020833333333333,112.90061255139801,482.2774655550379,369.3768530036399,0.305651563256687,5.47624168897757,10.442342324331326,0.9068446787784017,,
0,256,2.25,768,0.1,32,mlp_base,0.7442708333333333,0.6983333333333334,0.045937499999999964,112.90061255139801,482.2774655550379,369.3768530036399,0.305651563256687,5.47624168897757,10.442342324331326,0.9068446787784017,0.6770833333333334,16.0
0,256,2.25,768,0.1,32,mlp_reg,0.7510416666666667,0.6933333333333334,0.05770833333333336,112.90061255139801,482.2774655550379,369.3768530036399,0.305651563256687,5.47624168897757,10.442342324331326,0.9068446787784017,0.7020833333333333,7.0
0,256,2.25,768,0.1,32,mlp_wide,0.7135416666666666,0.7,0.013541666666666674,112.90061255139801,482.2774655550379,369.3768530036399,0.305651563256687,5.47624168897757,10.442342324331326,0.9068446787784017,0.6791666666666667,4.0
0,256,2.25,768,0.1,64,logreg,0.72875,0.7183333333333334,0.01041666666666663,204.55677360031686,482.2774655550379,277.720691954721,0.7365557537702929,8.823191707070745,13.843664768498861,0.5690087247458084,,
0,256,2.25,768,0.1,64,linear_svm,0.7241666666666666,0.7266666666666667,-0.0025000000000000577,204.55677360031686,482.2774655550379,277.720691954721,0.7365557537702929,8.823191707070745,13.843664768498861,0.5690087247458084,,
0,256,2.25,768,0.1,64,knn_k11,0.6270833333333333,0.5233333333333333,0.10375000000000001,204.55677360031686,482.2774655550379,277.720691954721,0.7365557537702929,8.823191707070745,13.843664768498861,0.5690087247458084,,
0,256,2.25,768,0.1,64,mlp_base,0.7927083333333333,0.71,0.08270833333333338,204.55677360031686,482.2774655550379,277.720691954721,0.7365557537702929,8.823191707070745,13.843664768498861,0.5690087247458084,0.69375,9.0
0,256,2.25,768,0.1,64,mlp_reg,0.8625,0.7016666666666667,0.16083333333333338,204.55677360031686,482.2774655550379,277.720691954721,0.7365557537702929,8.823191707070745,13.843664768498861,0.5690087247458084,0.6895833333333333,9.0
0,256,2.25,768,0.1,64,mlp_wide,0.8010416666666667,0.7033333333333334,0.09770833333333329,204.55677360031686,482.2774655550379,277.720691954721,0.7365557537702929,8.823191707070745,13.843664768498861,0.5690087247458084,0.7270833333333333,5.0
0,256,2.25,768,0.1,128,logreg,0.7708333333333334,0.7416666666666667,0.029166666666666674,340.6440085796979,482.2774655550379,141.63345697533998,2.405109751991777,13.549594853579283,18.478727887235607,0.36378453281606693,,
0,256,2.25,768,0.1,128,linear_svm,0.77,0.74,0.030000000000000027,340.6440085796979,482.2774655550379,141.63345697533998,2.405109751991777,13.549594853579283,18.478727887235607,0.36378453281606693,,
0,256,2.25,768,0.1,128,knn_k11,0.6233333333333333,0.4866666666666667,0.1366666666666666,340.6440085796979,482.2774655550379,141.63345697533998,2.405109751991777,13.549594853579283,18.478727887235607,0.36378453281606693,,
0,256,2.25,768,0.1,128,mlp_base,0.9473958333333333,0.7116666666666667,0.23572916666666666,340.6440085796979,482.2774655550379,141.63345697533998,2.405109751991777,13.549594853579283,18.478727887235607,0.36378453281606693,0.7,13.0
0,256,2.25,768,0.1,128,mlp_reg,0.9041666666666667,0.72,0.1841666666666667,340.6440085796979,482.2774655550379,141.63345697533998,2.405109751991777,13.549594853579283,18.478727887235607,0.36378453281606693,0.66875,5.0
0,256,2.25,768,0.1,128,mlp_wide,1.0,0.7233333333333334,0.2766666666666666,340.6440085796979,482.2774655550379,141.63345697533998,2.405109751991777,13.549594853579283,18.478727887235607,0.36378453281606693,0.7083333333333334,14.0
0,256,2.25,768,0.1,256,logreg,0.8641666666666666,0.735,0.12916666666666665,477.7011205023797,482.2774655550379,4.576345052658212,104.38485625661086,20.291301138930265,25.09075468491224,0.2365276387709752,,
0,256,2.25,768,0.1,256,linear_svm,0.8583333333333333,0.735,0.1233333333333333,477.7011205023797,482.2774655550379,4.576345052658212,104.38485625661086,20.291301138930265,25.09075468491224,0.2365276387709752,,
0,256,2.25,768,0.1,256,knn_k11,0.6008333333333333,0.4483333333333333,0.15250000000000002,477.7011205023797,482.2774655550379,4.576345052658212,104.38485625661086,20.291301138930265,25.09075468491224,0.2365276387709752,,
0,256,2.25,768,0.1,256,mlp_base,1.0,0.7116666666666667,0.28833333333333333,477.7011205023797,482.2774655550379,4.576345052658212,104.38485625661086,20.291301138930265,25.09075468491224,0.2365276387709752,0.7416666666666667,16.0
0,256,2.25,768,0.1,256,mlp_reg,1.0,0.7266666666666667,0.2733333333333333,477.7011205023797,482.2774655550379,4.576345052658212,104.38485625661086,20.291301138930265,25.09075468491224,0.2365276387709752,0.7354166666666667,20.0
